k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.294014545590028e-1,3.294014545590028e-1
1.000000000000000e-1,-0.000000000000000e0,-3.325857487366470e-1,3.325857487366470e-1
1.500000000000000e-1,-0.000000000000000e0,-3.357700429142912e-1,3.357700429142912e-1
2.000000000000000e-1,-0.000000000000000e0,-3.401532904633558e-1,3.401532904633558e-1
2.500000000000000e-1,-0.000000000000000e0,-3.456560420239568e-1,3.456560420239568e-1
3.000000000000000e-1,-0.000000000000000e0,-3.521695009003528e-1,3.521695009003528e-1
3.500000000000000e-1,-0.000000000000000e0,-3.595505950839698e-1,3.595505950839698e-1
4.000000000000000e-1,-0.000000000000000e0,-3.676159293232869e-1,3.676159293232869e-1
4.500000000000000e-1,-0.000000000000000e0,-3.761342857813328e-1,3.761342857813328e-1
5.000000000000000e-1,-0.000000000000000e0,-3.848161215226475e-1,3.848161215226475e-1
5.500000000000000e-1,0.000000000000000e0,-3.932912407666668e-1,3.932912407666668e-1
6.000000000000001e-1,0.000000000000000e0,-4.009380735867983e-1,4.009380735867983e-1
6.500000000000000e-1,-3.915853054277744e-1,-3.926716466366216e-1,1.086341208847208e-3
7.000000000000001e-1,-3.802944970001493e-1,-3.813331402971081e-1,1.038643296958852e-3
7.500000000000000e-1,-3.674290524831365e-1,-3.683470245398694e-1,9.179720567329408e-4
8.000000000000000e-1,-3.529421504134531e-1,-3.535384017595220e-1,5.962513460689434e-4
8.500000000000001e-1,-3.366121565912450e-1,-3.367438066643357e-1,1.316500730906833e-4
9.000000000000000e-1,-3.171093622540004e-1,-3.178195023572455e-1,7.101401032451049e-4
9.500000000000001e-1,-2.960070141732363e-1,-2.966649207098992e-1,6.579065366629222e-4
1.000000000000000e0,-2.730420065322258e-1,-2.731786232202901e-1,1.366166880643060e-4
1.050000000000000e0,-2.465828189164593e-1,-2.473011706388375e-1,7.183517223782465e-4
1.100000000000000e0,-2.187062008047924e-1,-2.191364633970085e-1,4.302625922160963e-4
1.150000000000000e0,-1.882868887824480e-1,-1.888065267837186e-1,5.196380012706392e-4
1.200000000000000e0,-1.557825913344832e-1,-1.564444046653403e-1,6.618133308571861e-4
1.250000000000000e0,-1.222271532310840e-1,-1.224036763166079e-1,1.765230855238914e-4
1.300000000000000e0,-8.652203757219393e-2,-8.715983524047755e-2,6.377976682836184e-4
1.350000000000000e0,-5.110748419092499e-2,-5.124494511630743e-2,1.374609253824363e-4
1.400000000000000e0,-1.475831949537142e-2,-1.526751063079347e-2,5.091911354220529e-4
