k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.004169364982455e-1,3.004169364982455e-1
1.000000000000000e-1,0.000000000000000e0,-3.028599019623773e-1,3.028599019623773e-1
1.500000000000000e-1,0.000000000000000e0,-3.053028674265091e-1,3.053028674265091e-1
2.000000000000000e-1,0.000000000000000e0,-3.086716147668306e-1,3.086716147668306e-1
2.500000000000000e-1,0.000000000000000e0,-3.129124878200045e-1,3.129124878200045e-1
3.000000000000000e-1,0.000000000000000e0,-3.179532062114368e-1,3.179532062114368e-1
3.500000000000000e-1,0.000000000000000e0,-3.237002129304355e-1,3.237002129304355e-1
4.000000000000000e-1,0.000000000000000e0,-3.300350931702580e-1,3.300350931702580e-1
4.500000000000000e-1,0.000000000000000e0,-3.368094875634737e-1,3.368094875634737e-1
5.000000000000000e-1,0.000000000000000e0,-3.438366516251072e-1,3.438366516251072e-1
5.500000000000000e-1,0.000000000000000e0,-3.508707890133191e-1,3.508707890133191e-1
6.000000000000001e-1,0.000000000000000e0,-3.574452979919543e-1,3.574452979919543e-1
6.500000000000000e-1,-3.491983609031817e-1,-3.501577306932779e-1,9.593697900961984e-4
7.000000000000001e-1,-3.396950119633946e-1,-3.405942413177491e-1,8.992293543544916e-4
7.500000000000000e-1,-3.292556241362941e-1,-3.300357874890825e-1,7.801633527884100e-4
8.000000000000000e-1,-3.178318891380741e-1,-3.183303142416022e-1,4.984251035280995e-4
8.500000000000001e-1,-3.052055993908445e-1,-3.053143758861092e-1,1.087764952647507e-4
9.000000000000000e-1,-2.902323086670041e-1,-2.908142127027583e-1,5.819040357542549e-4
9.500000000000001e-1,-2.741305066122910e-1,-2.746697006743047e-1,5.391940620136926e-4
1.000000000000000e0,-2.565778904604241e-1,-2.566904091810707e-1,1.125187206466038e-4
1.050000000000000e0,-2.360948707957810e-1,-2.366915795844709e-1,5.967087886899203e-4
1.100000000000000e0,-2.142513896276857e-1,-2.146150108471137e-1,3.636212194279842e-4
1.150000000000000e0,-1.899508178408731e-1,-1.903978999284350e-1,4.470820875618897e-4
1.200000000000000e0,-1.633841758024533e-1,-1.639657785887687e-1,5.816027863154716e-4
1.250000000000000e0,-1.352877938192326e-1,-1.354458407271037e-1,1.580469078711066e-4
1.300000000000000e0,-1.045072174908770e-1,-1.050901753780835e-1,5.829578872064978e-4
1.350000000000000e0,-7.308924154740068e-2,-7.321869693233499e-2,1.294553849343072e-4
1.400000000000000e0,-3.975379792458848e-2,-4.024892562746904e-2,4.951277028805642e-4
1.450000000000000e0,-6.412353456483361e-3,-6.700430123979782e-3,2.880766674964209e-4
1.500000000000000e0,2.718693409833110e-2,2.680692382766853e-2,3.800102706625653e-4
1.550000000000000e0,5.991054608797167e-2,5.961777704622420e-2,2.927690417474649e-4
1.600000000000000e0,9.105523531367131e-2,9.087616707522274e-2,1.790682384485709e-4
1.650000000000000e0,1.197398420275398e-1,1.195655016592855e-1,1.743403682543943e-4
