r,total_model,total_larch,diff,feffcu01dat_00
0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.227184630308513e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.533980787885641e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.840776945462770e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.147573103039898e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.454369260617026e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.761165418194154e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771282e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.215534678811180e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.522330836388308e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.829126993965437e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.442719309119693e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.749515466696822e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.056311624273950e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.363107781851078e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.669903939428206e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.976700097005335e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.283496254582463e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.590292412159591e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.897088569736720e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.510680884890976e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.817477042468105e-1,2.397685957960601e-1,2.409123029015491e-1,-1.143707105489083e-3,2.397685957960601e-1
1.012427320004523e0,2.588380250340075e-1,2.605886922824429e-1,-1.750667248435367e-3,2.588380250340075e-1
1.043106935762236e0,2.545050710000121e-1,2.567681663706514e-1,-2.263095370639290e-3,2.545050710000121e-1
1.073786551519949e0,2.252441088627885e-1,2.278088376348592e-1,-2.564728772070618e-3,2.252441088627885e-1
1.104466167277662e0,1.733119953304079e-1,1.757988182110101e-1,-2.486822880602230e-3,1.733119953304079e-1
1.135145783035375e0,1.088777094052206e-1,1.103665438221547e-1,-1.488834416934093e-3,1.088777094052206e-1
1.165825398793087e0,7.860879112601477e-2,7.658321498184889e-2,2.025576144165875e-3,7.860879112601477e-2
1.196505014550800e0,1.403397585749654e-1,1.372614617253993e-1,3.078296849566065e-3,1.403397585749654e-1
1.227184630308513e0,2.288498931336480e-1,2.264028406672066e-1,2.447052466441446e-3,2.288498931336480e-1
1.257864246066226e0,3.104289387790503e-1,3.088173477632749e-1,1.611591015775404e-3,3.104289387790503e-1
1.288543861823939e0,3.715272571963699e-1,3.708102751078699e-1,7.169820885000178e-4,3.715272571963699e-1
1.319223477581652e0,4.033081917005514e-1,4.034889956966823e-1,-1.808039961309071e-4,4.033081917005514e-1
1.349903093339364e0,4.004022407040992e-1,4.014481691814850e-1,-1.045928477385771e-3,4.004022407040992e-1
1.380582709097077e0,3.614986489631624e-1,3.633770026022773e-1,-1.878353639114982e-3,3.614986489631624e-1
1.411262324854790e0,2.909821579790973e-1,2.937379540530679e-1,-2.755796073970584e-3,2.909821579790973e-1
1.441941940612503e0,2.054373085390438e-1,2.093049608340782e-1,-3.867652295034385e-3,2.054373085390438e-1
1.472621556370216e0,1.625748701649551e-1,1.670299198304239e-1,-4.455049665468835e-3,1.625748701649551e-1
1.503301172127929e0,2.375178868176102e-1,2.404414166954815e-1,-2.923529877871284e-3,2.375178868176102e-1
1.533980787885641e0,3.751359628906228e-1,3.772291005505661e-1,-2.093137659943289e-3,3.751359628906228e-1
1.564660403643354e0,5.234777411745115e-1,5.254827380979332e-1,-2.004996923421709e-3,5.234777411745115e-1
1.595340019401067e0,6.615302403948163e-1,6.637614906041317e-1,-2.231250209315361e-3,6.615302403948163e-1
1.626019635158780e0,7.768867424441259e-1,7.794455673402823e-1,-2.558824896156331e-3,7.768867424441259e-1
1.656699250916493e0,8.607684446643215e-1,8.636364384173174e-1,-2.867993752995956e-3,8.607684446643215e-1
1.687378866674206e0,9.071655372161541e-1,9.102595613760353e-1,-3.094024159881137e-3,9.071655372161541e-1
1.718058482431918e0,9.132543533580701e-1,9.164822231699079e-1,-3.227869811837758e-3,9.132543533580701e-1
1.748738098189631e0,8.815090085830912e-1,8.848401076954205e-1,-3.331099112329317e-3,8.815090085830912e-1
1.779417713947344e0,8.256558463259503e-1,8.292024446822387e-1,-3.546598356288344e-3,8.256558463259503e-1
1.810097329705057e0,7.836001145217735e-1,7.876332721441474e-1,-4.033157622373884e-3,7.836001145217735e-1
1.840776945462770e0,8.281069112899068e-1,8.327873112583813e-1,-4.680399968474580e-3,8.281069112899068e-1
1.871456561220483e0,1.029407726727958e0,1.034476829757782e0,-5.069103029823996e-3,1.029407726727958e0
1.902136176978195e0,1.394825831221199e0,1.399930852167290e0,-5.105020946090777e-3,1.394825831221199e0
1.932815792735908e0,1.892431526310850e0,1.897313276989095e0,-4.881750678245034e-3,1.892431526310850e0
1.963495408493621e0,2.489388045456683e0,2.493790268476423e0,-4.402223019740248e-3,2.489388045456683e0
1.994175024251334e0,3.156598866609139e0,3.160243952751536e0,-3.645086142396892e-3,3.156598866609139e0
2.024854640009047e0,3.864934781780355e0,3.867555845716836e0,-2.621063936480539e-3,3.864934781780355e0
2.055534255766760e0,4.583326519304427e0,4.584709364912864e0,-1.382845608436156e-3,4.583326519304427e0
2.086213871524472e0,5.278896444964811e0,5.278914680558266e0,-1.823559345481840e-5,5.278896444964811e0
2.116893487282185e0,5.918283971441245e0,5.916921705149762e0,1.362266291482506e-3,5.918283971441245e0
2.147573103039898e0,6.469574118370592e0,6.466934144321860e0,2.639974048732618e-3,6.469574118370592e0
2.178252718797611e0,6.904425626471637e0,6.900722839281300e0,3.702787190337453e-3,6.904425626471637e0
2.208932334555323e0,7.200091464817671e0,7.195632820899375e0,4.458643918296090e-3,7.200091464817671e0
2.239611950313036e0,7.341088731652787e0,7.336242542898918e0,4.846188753869107e-3,7.341088731652787e0
2.270291566070749e0,7.320335352161695e0,7.315493891447317e0,4.841460714377632e-3,7.320335352161695e0
2.300971181828462e0,7.139636554544690e0,7.135176682072848e0,4.459872471842097e-3,7.139636554544690e0
2.331650797586175e0,6.809474540664018e0,6.805721186746712e0,3.753353917305802e-3,6.809474540664018e0
2.362330413343888e0,6.348125631881683e0,6.345322445284424e0,2.803186597258644e-3,6.348125631881683e0
2.393010029101601e0,5.780194546714204e0,5.778484889174112e0,1.709657540091669e-3,5.780194546714204e0
2.423689644859313e0,5.134709508144105e0,5.134129389824130e0,5.801183199745097e-4,5.134709508144105e0
2.454369260617026e0,4.442959877329885e0,4.443442596668608e0,-4.827193387226814e-4,4.442959877329885e0
2.485048876374739e0,3.736277187164997e0,3.737667594403934e0,-1.390407238937019e-3,3.736277187164997e0
2.515728492132452e0,3.043960637592223e0,3.046035264387412e0,-2.074626795189438e-3,3.043960637592223e0
2.546408107890165e0,2.391532814686300e0,2.394020597599347e0,-2.487782913047631e-3,2.391532814686300e0
2.577087723647877e0,1.799490959855464e0,1.802087415198536e0,-2.596455343071957e-3,1.799490959855464e0
2.607767339405590e0,1.282723827420920e0,1.285087195659020e0,-2.363368238099461e-3,1.282723827420920e0
2.638446955163303e0,8.509075662008427e-1,8.526106328771027e-1,-1.703066676259968e-3,8.509075662008427e-1
2.669126570921016e0,5.110370455547179e-1,5.113926013932527e-1,-3.555558385348601e-4,5.110370455547179e-1
2.699806186678729e0,2.778646231729976e-1,2.754545120061561e-1,2.410111166841478e-3,2.778646231729976e-1
2.730485802436442e0,1.984697071186557e-1,1.928409080411060e-1,5.628799077549707e-3,1.984697071186557e-1
2.761165418194155e0,2.480149451830083e-1,2.431522288756423e-1,4.862716307365927e-3,2.480149451830083e-1
2.791845033951867e0,3.091322576007549e-1,3.057266784535115e-1,3.405579147243321e-3,3.091322576007549e-1
2.822524649709580e0,3.465850708689890e-1,3.443695463710728e-1,2.215524497916233e-3,3.465850708689890e-1
2.853204265467293e0,3.598382661177585e-1,3.586017937006246e-1,1.236472417133927e-3,3.598382661177585e-1
2.883883881225006e0,3.543661500876468e-1,3.539242906860658e-1,4.418594015809796e-4,3.543661500876468e-1
2.914563496982719e0,3.361601428440968e-1,3.363168452139482e-1,-1.567023698513248e-4,3.361601428440968e-1
2.945243112740431e0,3.107606327799573e-1,3.113046885704739e-1,-5.440557905166399e-4,3.107606327799573e-1
2.975922728498144e0,1.062129183092666e-33,1.064852553263229e-33,-2.723370170563879e-36,1.062129183092666e-33
3.006602344255857e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.037281960013570e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.098641191528996e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.129320807286708e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.160000423044421e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.190680038802134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.221359654559847e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.252039270317560e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.282718886075272e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.313398501832985e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.344078117590698e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.405437349106124e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.436116964863837e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.466796580621549e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.497476196379262e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.528155812136975e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.558835427894688e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.589515043652401e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.620194659410114e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.650874275167826e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.712233506683252e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.742913122440965e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.773592738198678e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.804272353956391e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.834951969714103e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.865631585471816e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.896311201229529e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.926990816987242e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.957670432744955e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.019029664260381e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.049709280018093e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.080388895775806e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.111068511533519e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.141748127291232e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.172427743048944e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.203107358806657e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.233786974564370e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.264466590322083e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.325825821837508e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.356505437595222e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.387185053352934e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.417864669110647e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.448544284868360e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.479223900626073e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.509903516383786e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.540583132141498e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.571262747899211e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.632621979414637e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.663301595172349e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.693981210930063e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.724660826687775e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.755340442445489e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.786020058203201e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.816699673960914e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.847379289718627e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.878058905476339e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.939418136991765e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.970097752749478e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.000777368507190e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
