k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.004169364982455e-1,3.004169364982455e-1
1.000000000000000e-1,0.000000000000000e0,-3.028599019623773e-1,3.028599019623773e-1
1.500000000000000e-1,0.000000000000000e0,-3.053028674265091e-1,3.053028674265091e-1
2.000000000000000e-1,0.000000000000000e0,-3.086716147668306e-1,3.086716147668306e-1
2.500000000000000e-1,0.000000000000000e0,-3.129124878200045e-1,3.129124878200045e-1
3.000000000000000e-1,0.000000000000000e0,-3.179532062114368e-1,3.179532062114368e-1
3.500000000000000e-1,0.000000000000000e0,-3.237002129304355e-1,3.237002129304355e-1
4.000000000000000e-1,0.000000000000000e0,-3.300350931702580e-1,3.300350931702580e-1
4.500000000000000e-1,0.000000000000000e0,-3.368094875634737e-1,3.368094875634737e-1
5.000000000000000e-1,0.000000000000000e0,-3.438366516251072e-1,3.438366516251072e-1
5.500000000000000e-1,0.000000000000000e0,-3.508707890133191e-1,3.508707890133191e-1
6.000000000000001e-1,0.000000000000000e0,-3.574452979919543e-1,3.574452979919543e-1
6.500000000000000e-1,-3.523174931244061e-1,-3.501577306932779e-1,-2.159762431128198e-3
7.000000000000001e-1,-3.426913910738194e-1,-3.405942413177491e-1,-2.097149756070282e-3
7.500000000000000e-1,-3.321288078971825e-1,-3.300357874890825e-1,-2.093020408099999e-3
8.000000000000000e-1,-3.205578100780392e-1,-3.183303142416022e-1,-2.227495836436999e-3
8.500000000000001e-1,-3.077196476343448e-1,-3.053143758861092e-1,-2.405271748235571e-3
9.000000000000000e-1,-2.925367362347078e-1,-2.908142127027583e-1,-1.722523531949460e-3
9.500000000000001e-1,-2.762021936134187e-1,-2.746697006743047e-1,-1.532492939114061e-3
1.000000000000000e0,-2.583705084389067e-1,-2.566904091810707e-1,-1.680099257836021e-3
1.050000000000000e0,-2.376030031927427e-1,-2.366915795844709e-1,-9.114236082717886e-4
1.100000000000000e0,-2.154663253587096e-1,-2.146150108471137e-1,-8.513145115959242e-4
1.150000000000000e0,-1.908389419739000e-1,-1.903978999284350e-1,-4.410420454649955e-4
1.200000000000000e0,-1.639641166572571e-1,-1.639657785887687e-1,1.661931511603987e-6
1.250000000000000e0,-1.355508687696288e-1,-1.354458407271037e-1,-1.050280425250461e-4
1.300000000000000e0,-1.044795322943762e-1,-1.050901753780835e-1,6.106430837073129e-4
1.350000000000000e0,-7.279942404193013e-2,-7.321869693233499e-2,4.192728904048593e-4
1.400000000000000e0,-3.921386260571834e-2,-4.024892562746904e-2,1.035063021750701e-3
1.450000000000000e0,-5.678314971165933e-3,-6.700430123979782e-3,1.022115152813849e-3
1.500000000000000e0,2.808321911863660e-2,2.680692382766853e-2,1.276295290968069e-3
1.550000000000000e0,6.090933230412812e-2,5.961777704622420e-2,1.291555257903920e-3
1.600000000000000e0,9.211557762649220e-2,9.087616707522274e-2,1.239410551269457e-3
1.650000000000000e0,1.208056844867647e-1,1.195655016592855e-1,1.240182827479272e-3
