r,model,larch,diff
0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.227184630308513e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.533980787885641e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.840776945462770e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.147573103039898e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.454369260617026e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.761165418194154e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771282e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.215534678811180e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.522330836388308e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.829126993965437e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.442719309119693e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.749515466696822e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.056311624273950e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.363107781851078e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.669903939428206e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.976700097005335e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.283496254582463e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.590292412159591e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.897088569736720e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.510680884890976e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.817477042468105e-1,2.542275124762565e-1,2.553850286629548e-1,-1.157516186698293e-3
1.012427320004523e0,2.755066859299350e-1,2.773700692573147e-1,-1.863383327379675e-3
1.043106935762236e0,2.718140979507260e-1,2.742770670542093e-1,-2.462969103483315e-3
1.073786551519949e0,2.413419813303568e-1,2.441729641743932e-1,-2.830982844036434e-3
1.104466167277662e0,1.861955243562896e-1,1.889918429470604e-1,-2.796318590770758e-3
1.135145783035375e0,1.164297412354581e-1,1.182582178363633e-1,-1.828476600905238e-3
1.165825398793087e0,8.030762933226264e-2,7.837947554052385e-2,1.928153791738788e-3
1.196505014550800e0,1.459046996923110e-1,1.427294294079115e-1,3.175270284399456e-3
1.227184630308513e0,2.416483912402273e-1,2.391737196053208e-1,2.474671634906472e-3
1.257864246066226e0,3.302029511224938e-1,3.286532287453283e-1,1.549722377165497e-3
1.288543861823939e0,3.969622364434028e-1,3.963912616020737e-1,5.709748413291194e-4
1.319223477581652e0,4.322981224472646e-1,4.326909889509855e-1,-3.928665037208345e-4
1.349903093339364e0,4.302388019459316e-1,4.315377812000465e-1,-1.298979254114929e-3
1.380582709097077e0,3.891378310090823e-1,3.912867674815080e-1,-2.148936472425700e-3
