k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.294014545590028e-1,3.294014545590028e-1
1.000000000000000e-1,0.000000000000000e0,-3.325857487366470e-1,3.325857487366470e-1
1.500000000000000e-1,0.000000000000000e0,-3.357700429142912e-1,3.357700429142912e-1
2.000000000000000e-1,0.000000000000000e0,-3.401532904633558e-1,3.401532904633558e-1
2.500000000000000e-1,0.000000000000000e0,-3.456560420239568e-1,3.456560420239568e-1
3.000000000000000e-1,0.000000000000000e0,-3.521695009003528e-1,3.521695009003528e-1
3.500000000000000e-1,0.000000000000000e0,-3.595505950839698e-1,3.595505950839698e-1
4.000000000000000e-1,0.000000000000000e0,-3.676159293232869e-1,3.676159293232869e-1
4.500000000000000e-1,0.000000000000000e0,-3.761342857813328e-1,3.761342857813328e-1
5.000000000000000e-1,0.000000000000000e0,-3.848161215226475e-1,3.848161215226475e-1
5.500000000000000e-1,0.000000000000000e0,-3.932912407666668e-1,3.932912407666668e-1
6.000000000000001e-1,0.000000000000000e0,-4.009380735867983e-1,4.009380735867983e-1
6.500000000000000e-1,-3.933364670913231e-1,-3.926716466366216e-1,-6.648204547015646e-4
7.000000000000001e-1,-3.819860111263911e-1,-3.813331402971081e-1,-6.528708292830032e-4
7.500000000000000e-1,-3.690918324647307e-1,-3.683470245398694e-1,-7.448079248612016e-4
8.000000000000000e-1,-3.545741246165910e-1,-3.535384017595220e-1,-1.035722857068988e-3
8.500000000000001e-1,-3.381519400019435e-1,-3.367438066643357e-1,-1.408133337607753e-3
9.000000000000000e-1,-3.186050073613414e-1,-3.178195023572455e-1,-7.855050040959100e-4
9.500000000000001e-1,-2.974487255952821e-1,-2.966649207098992e-1,-7.838048853828217e-4
1.000000000000000e0,-2.743828714771746e-1,-2.731786232202901e-1,-1.204248256884477e-3
1.050000000000000e0,-2.478469049987944e-1,-2.473011706388375e-1,-5.457343599568343e-4
1.100000000000000e0,-2.198835681172449e-1,-2.191364633970085e-1,-7.471047202364245e-4
1.150000000000000e0,-1.893352708041278e-1,-1.888065267837186e-1,-5.287440204092553e-4
1.200000000000000e0,-1.567210141646260e-1,-1.564444046653403e-1,-2.766094992856793e-4
1.250000000000000e0,-1.230211576428242e-1,-1.224036763166079e-1,-6.174813262162515e-4
1.300000000000000e0,-8.718413466291593e-2,-8.715983524047755e-2,-2.429942243838135e-5
1.350000000000000e0,-5.163257616640389e-2,-5.124494511630743e-2,-3.876310500964611e-4
1.400000000000000e0,-1.511931688353376e-2,-1.526751063079347e-2,1.481937472597138e-4
