r,total_model,total_larch,diff,feffcu01dat_00
0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-2,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.227184630308513e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.533980787885641e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
1.840776945462770e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.147573103039898e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.454369260617026e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
2.761165418194154e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771282e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.215534678811180e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.522330836388308e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.829126993965437e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.135923151542565e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.442719309119693e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
6.749515466696822e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.056311624273950e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.363107781851078e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.669903939428206e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.976700097005335e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.283496254582463e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.590292412159591e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.897088569736720e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.203884727313848e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.510680884890976e-1,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
9.817477042468105e-1,2.546230474567035e-1,2.558747282920494e-1,-1.251680835345881e-3,2.546230474567035e-1
1.012427320004523e0,2.753705451928694e-1,2.773025376727473e-1,-1.931992479877964e-3,2.753705451928694e-1
1.043106935762236e0,2.710599706886452e-1,2.735683477047668e-1,-2.508377016121610e-3,2.710599706886452e-1
1.073786551519949e0,2.399598042637487e-1,2.428152699477845e-1,-2.855465684035774e-3,2.399598042637487e-1
1.104466167277662e0,1.842703847005595e-1,1.870736439246672e-1,-2.803259224107679e-3,1.842703847005595e-1
1.135145783035375e0,1.142376860787416e-1,1.160528621453687e-1,-1.815176066627039e-3,1.142376860787416e-1
1.165825398793087e0,7.952224653313605e-2,7.754852264437105e-2,1.973723888765003e-3,7.952224653313605e-2
1.196505014550800e0,1.466686126783009e-1,1.435394888017387e-1,3.129123876562195e-3,1.466686126783009e-1
1.227184630308513e0,2.422569230669940e-1,2.398246866727718e-1,2.432236394222187e-3,2.422569230669940e-1
1.257864246066226e0,3.300745360178775e-1,3.285448278308771e-1,1.529708187000378e-3,3.300745360178775e-1
1.288543861823939e0,3.958178311975412e-1,3.952356005942735e-1,5.822306032676194e-4,3.958178311975412e-1
1.319223477581652e0,4.300311780122739e-1,4.303765632963322e-1,-3.453852840582528e-4,4.300311780122739e-1
1.349903093339364e0,4.268895963203056e-1,4.281042025947471e-1,-1.214606274441532e-3,4.268895963203056e-1
1.380582709097077e0,3.848519071676677e-1,3.868824236805590e-1,-2.030516512891323e-3,3.848519071676677e-1
1.411262324854790e0,3.083566733733141e-1,3.112457492914950e-1,-2.889075918180883e-3,3.083566733733141e-1
1.441941940612503e0,2.146525350689777e-1,2.186900221436502e-1,-4.037487074672497e-3,2.146525350689777e-1
1.472621556370216e0,1.666322769265994e-1,1.713715343640317e-1,-4.739257437432309e-3,1.666322769265994e-1
1.503301172127929e0,2.491965763805419e-1,2.522984049733616e-1,-3.101828592819739e-3,2.491965763805419e-1
1.533980787885641e0,3.985077453425581e-1,4.007499536517847e-1,-2.242208309226668e-3,3.985077453425581e-1
1.564660403643354e0,5.580725240932709e-1,5.602156878439984e-1,-2.143163750727539e-3,5.580725240932709e-1
1.595340019401067e0,7.057250400256482e-1,7.080747496897777e-1,-2.349709664129507e-3,7.057250400256482e-1
1.626019635158780e0,8.282598063289669e-1,8.309103089696968e-1,-2.650502640729857e-3,8.282598063289669e-1
1.656699250916493e0,9.162759119910453e-1,9.192091106321986e-1,-2.933198641153267e-3,9.162759119910453e-1
1.687378866674206e0,9.633319885384484e-1,9.664718537914971e-1,-3.139865253048768e-3,9.633319885384484e-1
1.718058482431918e0,9.663814853015655e-1,9.696463180008973e-1,-3.264832699331754e-3,9.663814853015655e-1
1.748738098189631e0,9.279668310790767e-1,9.313364995536739e-1,-3.369668474597187e-3,9.279668310790767e-1
1.779417713947344e0,8.625851357136251e-1,8.661831888946288e-1,-3.598053181003702e-3,8.625851357136251e-1
1.810097329705057e0,8.111043165614866e-1,8.152192139578609e-1,-4.114897396374273e-3,8.111043165614866e-1
1.840776945462770e0,8.537670098622300e-1,8.585669246158346e-1,-4.799914753604639e-3,8.537670098622300e-1
1.871456561220483e0,1.067941579479174e0,1.073147035846165e0,-5.205456366990102e-3,1.067941579479174e0
1.902136176978195e0,1.459032840178840e0,1.464292537682443e0,-5.259697503602778e-3,1.459032840178840e0
1.932815792735908e0,1.990485412443446e0,1.995552166800125e0,-5.066754356678915e-3,1.990485412443446e0
1.963495408493621e0,2.626892236314216e0,2.631504866577784e0,-4.612630263567841e-3,2.626892236314216e0
1.994175024251334e0,3.337599905042101e0,3.341457869106104e0,-3.857964064002406e-3,3.337599905042101e0
2.024854640009047e0,4.091998220894070e0,4.094800195811356e0,-2.801974917286287e-3,4.091998220894070e0
2.055534255766760e0,4.857323067979843e0,4.858817085637143e0,-1.494017657299729e-3,4.857323067979843e0
2.086213871524472e0,5.598767631332963e0,5.598794766069281e0,-2.713473631743568e-5,5.598767631332963e0
2.116893487282185e0,6.280896167083924e0,6.279420966997848e0,1.475200086075823e-3,6.280896167083924e0
2.147573103039898e0,6.869710829478365e0,6.866835054406098e0,2.875775072266329e-3,6.869710829478365e0
2.178252718797611e0,7.334937791103841e0,7.330896104199549e0,4.041686904292519e-3,7.334937791103841e0
2.208932334555323e0,7.652203663068011e0,7.647342037861583e0,4.861625206427966e-3,7.652203663068011e0
2.239611950313036e0,7.804841167367546e0,7.799580915633002e0,5.260251734544141e-3,7.804841167367546e0
2.270291566070749e0,7.785126916177555e0,7.779919120036420e0,5.207796141134757e-3,7.785126916177555e0
2.300971181828462e0,7.594823947289765e0,7.590100373557053e0,4.723573732711372e-3,7.594823947289765e0
2.331650797586175e0,7.244977027561553e0,7.241104068945938e0,3.872958615614763e-3,7.244977027561553e0
2.362330413343888e0,6.754984873830030e0,6.752226580629729e0,2.758293200300521e-3,6.754984873830030e0
2.393010029101601e0,6.151043943375170e0,6.149538810225253e0,1.505133149916738e-3,6.151043943375170e0
2.423689644859313e0,5.464116970197089e0,5.463871001281782e0,2.459689153067046e-4,5.464116970197089e0
2.454369260617026e0,4.727620847791227e0,4.728516833078941e0,-8.959852877135077e-4,4.727620847791227e0
2.485048876374739e0,3.975049752546514e0,3.976869996679484e0,-1.820244132970661e-3,3.975049752546514e0
2.515728492132452e0,3.237750405503932e0,3.240207673360869e0,-2.457267856936785e-3,3.237750405503932e0
2.546408107890165e0,2.543051043057968e0,2.545820338318451e0,-2.769295260483418e-3,2.543051043057968e0
2.577087723647877e0,1.912925866002298e0,1.915667395558472e0,-2.741529556173905e-3,1.912925866002298e0
2.607767339405590e0,1.363387539337986e0,1.365746689105934e0,-2.359149767947821e-3,1.363387539337986e0
2.638446955163303e0,9.049729143250297e-1,9.065281295332590e-1,-1.555215208229321e-3,9.049729143250297e-1
2.669126570921016e0,5.456519713837195e-1,5.457278491961594e-1,-7.587781243989511e-5,5.456519713837195e-1
2.699806186678729e0,3.023334372290988e-1,2.995637851445563e-1,2.769652084542495e-3,3.023334372290988e-1
2.730485802436442e0,2.226549970601994e-1,2.168737554915928e-1,5.781241568606543e-3,2.226549970601994e-1
2.761165418194155e0,2.736521103842465e-1,2.686193902273983e-1,5.032720156848247e-3,2.736521103842465e-1
2.791845033951867e0,3.366083323547611e-1,3.329778384071310e-1,3.630493947630042e-3,3.366083323547611e-1
2.822524649709580e0,3.753031188003854e-1,3.728526645956100e-1,2.450454204775465e-3,3.753031188003854e-1
2.853204265467293e0,3.888608137005197e-1,3.874305587762821e-1,1.430254924237651e-3,3.888608137005197e-1
2.883883881225006e0,3.828558444491955e-1,3.823077963355339e-1,5.480481136616033e-4,3.828558444491955e-1
2.914563496982719e0,3.634597273021040e-1,3.636196885703041e-1,-1.599612682000595e-4,3.634597273021040e-1
2.945243112740431e0,3.363870753876250e-1,3.370278655756987e-1,-6.407901880737255e-4,3.363870753876250e-1
2.975922728498144e0,1.150814612633580e-33,1.154059954646660e-33,-3.245342013079871e-36,1.150814612633580e-33
3.006602344255857e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.037281960013570e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.067961575771283e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.098641191528996e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.129320807286708e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.160000423044421e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.190680038802134e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.221359654559847e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.252039270317560e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.282718886075272e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.313398501832985e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.344078117590698e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.374757733348411e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.405437349106124e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.436116964863837e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.466796580621549e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.497476196379262e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.528155812136975e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.558835427894688e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.589515043652401e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.620194659410114e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.650874275167826e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.681553890925539e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.712233506683252e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.742913122440965e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.773592738198678e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.804272353956391e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.834951969714103e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.865631585471816e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.896311201229529e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.926990816987242e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.957670432744955e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
3.988350048502667e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.019029664260381e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.049709280018093e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.080388895775806e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.111068511533519e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.141748127291232e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.172427743048944e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.203107358806657e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.233786974564370e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.264466590322083e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.295146206079796e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.325825821837508e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.356505437595222e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.387185053352934e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.417864669110647e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.448544284868360e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.479223900626073e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.509903516383786e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.540583132141498e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.571262747899211e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.601942363656924e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.632621979414637e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.663301595172349e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.693981210930063e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.724660826687775e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.755340442445489e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.786020058203201e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.816699673960914e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.847379289718627e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.878058905476339e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.908738521234052e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.939418136991765e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
4.970097752749478e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
5.000777368507190e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
